183.92,6.6901,0.0080247
165.62,5.4759,0.011103
160.15,5.0118,0.0066617
158.16,4.7102,0.0012853
146.33,4.4311,0.0075758
149.96,4.1674,0.0060606
143.12,3.9685,0.0067901
142.21,3.9977,0.0060606
135.18,3.7795,0.0037879
134.63,3.8926,0.004321
136.12,3.966,0.0065402
134.9,4.0661,0.0058862
140.52,4.2568,0.004321
145.29,4.6383,0.0098103
165.65,5.7319,0.0091563
187.33,6.8309,0.0067901
208.78,8.2858,0.0098103
226.73,9.4598,0.0091563
233.21,10.519,0.0030864
232.09,11.082,0.0026178
229.78,11.2,0.00065531
229.89,10.738,0.0012346
219.02,9.4384,0.00065531
200.83,7.6583,0.0039422
167.8,6.506,0.0065711
156.68,5.7819,0.0084151
150.37,5.7076,0.0070126
155.71,5.946,0.0031017
143.25,5.6552,0.0035842
146.24,5.7276,0.0028674
148.69,5.8172,0.004779
147.91,5.8824,0.0057348
144.85,5.8745,0.0035868
145.03,5.8453,0.0041816
150.71,5.8916,0.0019011
152.96,6.0773,0.0019011
150.04,6.0818,0.0035842
149.99,6.1839,0.0069753
158.81,6.688,0.0076094
167.08,7.4367,0.0095579
183.72,8.2866,0.010146
207.97,9.2294,0.0063371
219.17,9.8488,0.0029886
220.33,10.243,0.0038047
223.27,10.094,0.0025349
221.98,9.3178,0.0029869
201.14,7.872,0.0038023
175.64,6.8351,0.005707
161.83,6.65,0.0024691
158.79,6.2194,0.0050688
155.86,6.4164,0.006517
155.87,6.6801,0.0051282
151.48,6.4863,0.0029608
154.44,6.4022,0.0051852
155.39,6.4735,0.0049383
157.67,6.3745,0.0014804
153.4,6.2563,0.002963
154.66,6.5605,0.0024691
155.06,6.5778,0.0039216
155.01,6.7207,0.0045752
154.78,6.8109,0.0061805
156.64,6.7948,0.003268
157.7,7.208,0.0019621
164.8,7.8698,0.0055556
176.7,8.6118,0.003268
192.72,9.3196,0.0084967
206.84,9.7167,0.004321
211.33,9.9882,0.0013072
208.49,9.7719,0.00065359
210.52,8.9883,0.0030864
194.43,7.6939,0.0039241
167.43,6.7873,0.0045812
164.22,6.9492,0.0071727
152.53,6.5674,0.0049157
155.53,6.567,0.0070175
155.98,6.8403,0.0043424
151.71,6.4316,0.0058522
150.37,6.4982,0.0058608
156.76,6.6953,0.004779
151.14,6.4619,0.0073206
154.53,6.4879,0.0073153
157.38,6.6625,0.0029869
154.94,6.6686,0.0031686
153.76,6.6246,0.0031706
155.95,6.7808,0.0065711
157,6.77,0.0063371
156.09,7.1774,0.0057034
164.48,8.0072,0.0065711
181.52,8.9506,0.010139
196.28,9.7579,0.004436
207.99,10.173,0.0023895
215.61,10.447,0.004436
222.7,10.234,0.0031686
218.43,9.6613,0.0017921
202.64,8.2478,0.0050697
177.5,7.3934,0.0063452
184.14,6.9558,0.0053763
169.82,6.3973,0.0041237
162.93,6.1416,0.0041237
159.59,6.1155,0.0068664
162.27,5.9129,0.0086331
155.28,5.8795,0.0079365
155.58,5.8569,0.0030066
155.33,5.8144,0.0064982
155.57,5.8016,0.0036075
150.6,5.7035,0.0024053
149.61,5.7521,0.0031867
153.25,5.8693,0.0031726
152.22,5.985,0.0065789
151.43,6.0912,0.0063331
157.21,6.8619,0.0069664
180.75,7.8524,0.0053763
199.12,8.9006,0.0082331
216.89,9.7378,0.0075997
227.58,10.422,0.0017921
232.65,10.787,0.0025332
232.82,10.802,0.0012666
231.59,10.407,0.0011947
222,9.1736,0.00063371
200.89,7.6233,0.001906
201.46,7.7058,0.0024722
180.43,6.5899,0.0064982
177.42,6.1096,0.0043541
170.88,5.8552,0.0032616
160.21,5.2557,0.0030441
156.8,5.1249,0.0083778
154.44,5.0439,0.0043915
147.92,4.8268,0.0030511
152.29,4.7332,0.003811
147.6,4.7539,0.005022
147.53,4.6718,0.0026684
148.68,4.81,0.0039448
149.27,5.0167,0.0055797
160.65,5.6752,0.0078895
178.03,6.7975,0.0098619
206.56,8.2938,0.0068323
221.47,9.5783,0.0065789
234.39,10.698,0.0032873
237.87,11.631,0.0012399
