0,0,0,0,0,0,0,0,8.2623,2.3434,1,0
0,0,0,0,0,0,0,0,8.1645,2.3803,1,0
0.006359,0,0.0062308,0,0.0067692,0,0.0067692,0,8.132,2.3714,1,0
160.91,137.24,22.036,1.636,67.698,43.195,24.503,282.53,8.8614,2.3555,0,0.55385
288.66,243.11,41.788,3.7638,155.76,109.29,46.466,361.8,9.9095,2.3783,0,0.55897
388.59,320.4,62.558,5.6308,233.02,163.46,69.562,394.57,11.159,2.4385,0,0.55897
449.62,368.85,73.985,6.7788,280.53,198.26,82.267,411.33,12.129,2.5625,0,0.55641
462.79,377.16,78.563,7.0734,292.73,205.38,87.358,409.58,12.89,2.5379,0,0.55897
431.27,350.12,74.628,6.5154,269.63,186.65,82.983,396.91,13.317,2.5101,0,0.56667
410.75,339.65,65.244,5.8532,242.23,169.68,72.549,433.55,13.349,2.4912,0,0.50256
318.72,271.2,43.555,3.9683,164.22,115.79,48.432,429.41,13.056,2.3794,0,0.44872
206.68,184.91,20.061,1.7019,70.428,48.12,22.308,423.39,12.189,2.2344,0,0.20256
0,0,0,0,0,0,0,0,11.441,2.1324,1,0
0,0,0,0,0,0,0,0,10.899,2.1327,1,0
0,0,0,0,0,0,0,0,10.454,2.1295,1,0
0,0,0,0,0,0,0,0,10.066,2.1069,1,0
0,0,0,0,0,0,0,0,9.7708,2.0904,1,0
0,0,0,0,0,0,0,0,9.5293,2.0966,1,0
0,0,0,0,0,0,0,0,8.3096,2.1429,1,0
0,0,0,0,0,0,0,0,8.0759,2.1756,1,0
0,0,0,0,0,0,0,0,7.9147,2.3015,1,0
0,0,0,0,0,0,0,0,7.7584,2.3199,1,0
0,0,0,0,0,0,0,0,7.6241,2.375,1,0
0,0,0,0,0,0,0,0,7.5015,2.4326,1,0
0,0,0,0,0,0,0,0,7.4025,2.4543,1,0
0,0,0,0,0,0,0,0,7.2536,2.5183,1,0
0.19499,0,0.1901,0.0049628,0.21112,0,0.21112,0,7.3501,2.5296,1,0.099256
154.99,129.74,23.522,1.7263,71.435,45.28,26.155,273.2,8.0626,2.5114,0,0.58313
285.09,236.99,44.176,3.9277,162.54,113.42,49.121,355.31,9.1135,2.5882,0,0.5732
376.52,305.81,65.001,5.7097,236.29,164.01,72.278,375.88,10.378,2.599,0,0.58561
414.97,327.55,80.787,6.6254,274.18,184.35,89.831,361.98,11.375,2.6945,0,0.61538
433.45,337.57,88.844,7.0434,291.49,192.7,98.79,361.06,12.096,2.6657,0,0.62035
423.25,339.69,76.889,6.6775,276.35,190.85,85.497,377.01,12.552,2.6394,0,0.59801
410.94,339.5,65.309,6.135,253.89,181.27,72.621,421.2,12.647,2.617,0,0.53102
317.58,266.64,46.639,4.295,177.75,125.89,51.86,406.57,12.371,2.4797,0,0.50372
268.17,241.31,24.243,2.6119,108.09,81.128,26.957,522.72,11.556,2.2776,0,0.15136
0.10491,0,0.10211,0.0027047,0.11355,0,0.11355,0,10.708,2.1396,1,0.0099256
0,0,0,0,0,0,0,0,10.096,2.1325,1,0
0,0,0,0,0,0,0,0,9.5641,2.1026,1,0
0,0,0,0,0,0,0,0,9.1363,2.0672,1,0
0,0,0,0,0,0,0,0,8.8119,2.0579,1,0
0,0,0,0,0,0,0,0,8.5552,2.1294,1,0
0,0,0,0,0,0,0,0,8.4923,2.0874,1,0
0,0,0,0,0,0,0,0,8.2658,2.1255,1,0
0,0,0,0,0,0,0,0,8.1197,2.201,1,0
0,0,0,0,0,0,0,0,7.9489,2.2264,1,0
0,0,0,0,0,0,0,0,7.7605,2.3055,1,0
0,0,0,0,0,0,0,0,7.6593,2.3295,1,0
0,0,0,0,0,0,0,0,7.6025,2.3595,1,0
0,0,0,0,0,0,0,0,7.4124,2.363,1,0
63.098,50.684,11.656,0.75854,31.398,18.438,12.96,184.33,7.864,2.3699,0.34491,0.43921
209.52,169.96,36.42,3.1441,130.12,89.622,40.498,338.78,8.7364,2.4589,0,0.57072
346.23,284.98,55.585,5.6605,234.26,172.45,61.808,406.88,9.8981,2.5509,0,0.55087
440,349.05,83.303,7.6423,316.27,223.64,92.629,409.8,11.138,2.5948,0,0.5732
